timestamp_s,dt_s,pitch_setpoint,pitch_measurement,pitch_command,roll_setpoint,roll_measurement,roll_command,yaw_setpoint,yaw_measurement,yaw_command,throttle
0.109,0.109,-0.709,0.014,6.605,0.111,0.003,21.134,-0.672,-4.109,66.800,66.800
0.122,0.011,0.355,-0.022,0.036,-0.416,-0.007,-40.149,-3.172,-4.138,66.800,66.800
0.136,0.012,-0.106,-0.024,1.821,-0.160,-0.009,8.718,-0.143,-4.166,-66.800,66.800
0.149,0.011,0.307,-0.027,-5.241,0.212,-0.004,-37.417,0.683,-4.162,-64.381,66.800
0.163,0.012,0.027,-0.024,4.546,-0.144,-0.005,32.589,0.363,-4.155,14.563,66.800
0.187,0.011,-0.126,-0.024,0.979,-0.105,-0.003,-7.595,-0.285,-4.154,39.010,66.800
0.200,0.011,-0.112,-0.027,-2.008,-0.397,-0.008,13.571,0.297,-4.157,-12.266,66.800
0.214,0.012,0.122,-0.027,1.836,0.248,-0.007,8.249,-0.037,-4.161,-46.011,66.800
0.227,0.011,0.061,-0.023,0.750,-0.186,-0.007,-11.630,-0.394,-4.156,43.290,66.800
0.240,0.011,-0.177,-0.026,1.138,-0.246,-0.007,-26.077,0.208,-4.157,13.835,66.800
0.254,0.012,-0.033,-0.027,0.754,0.473,-0.007,28.241,0.124,-4.161,-47.552,66.800
0.267,0.011,0.220,-0.024,-1.433,-0.175,-0.009,1.126,-0.262,-4.160,66.800,66.800
0.294,0.011,-0.031,-0.026,-1.237,0.431,-0.008,28.762,0.504,-4.160,-66.800,66.800
0.308,0.012,0.376,-0.025,-0.965,-0.431,-0.009,-37.206,0.169,-4.163,-66.800,66.800
0.321,0.011,-0.039,-0.025,-0.044,0.529,-0.004,-30.172,-0.477,-4.158,66.800,66.800
0.335,0.012,-0.257,-0.026,5.119,0.159,-0.007,40.656,-0.251,-4.155,66.800,66.800
0.348,0.011,-0.574,-0.027,-2.087,-0.341,-0.005,-46.063,0.496,-4.157,-22.041,66.800
