timestamp_s,dt_s,pitch_setpoint,pitch_measurement,pitch_command,pitch_control,roll_setpoint,roll_measurement,roll_command,roll_control,yaw_setpoint,yaw_measurement,yaw_command,yaw_control,throttle
0.091,0.091,0.043,-0.021,-0.397,-0.118,0.074,-1.153,0.304,-4.111,-17.200,100.800
0.093,0.001,0.054,-0.017,-0.287,-0.123,0.077,-0.851,0.282,-4.085,5.243,100.800
0.095,0.000,0.058,-0.017,-0.125,-0.130,0.077,-1.283,0.244,-4.084,9.436,100.800
0.097,0.000,0.066,-0.017,-0.125,-0.137,0.077,-1.283,0.188,-4.084,9.436,100.800
0.099,0.000,0.075,-0.017,-0.440,-0.134,0.077,-0.819,0.132,-4.084,28.029,100.800
0.111,0.001,0.066,-0.017,0.212,-0.119,0.077,2.016,0.177,-4.082,-11.587,100.800
0.112,0.000,0.054,-0.017,0.212,-0.118,0.077,2.016,0.236,-4.081,-11.587,100.800
0.114,0.000,0.045,-0.017,0.526,-0.113,0.078,0.744,0.307,-4.080,-33.095,100.800
0.117,0.001,0.033,-0.017,0.287,-0.091,0.078,3.275,0.375,-4.080,-17.535,100.800
0.118,0.000,0.013,-0.017,0.287,-0.066,0.078,3.275,0.426,-4.079,-17.535,100.800
0.120,0.000,-0.004,-0.017,0.932,-0.067,0.078,3.452,0.443,-4.078,-17.470,100.800
0.122,0.001,-0.013,-0.018,0.932,-0.065,0.078,3.452,0.430,-4.077,-17.470,100.800
0.134,0.001,-0.010,-0.018,0.149,-0.072,0.079,-0.818,0.317,-4.074,31.412,100.800
0.136,0.001,-0.006,-0.018,0.149,-0.088,0.079,-0.818,0.216,-4.073,31.412,100.800
0.137,0.000,-0.007,-0.018,-0.063,-0.109,0.079,-5.707,0.126,-4.073,47.916,100.800
0.139,0.000,0.004,-0.018,-0.063,-0.132,0.078,-5.707,0.046,-4.073,47.916,100.800
0.141,0.000,0.022,-0.018,-0.741,-0.154,0.078,-7.031,0.008,-4.073,29.823,100.800
0.143,0.001,0.029,-0.018,-0.741,-0.159,0.078,-7.031,0.011,-4.073,29.823,100.800
0.154,0.000,0.033,-0.018,-0.281,-0.116,0.078,5.473,0.126,-4.071,-29.726,100.800
0.156,0.000,0.026,-0.018,-0.281,-0.091,0.078,5.473,0.227,-4.071,-29.726,100.800
0.158,0.000,0.002,-0.019,0.769,-0.045,0.079,10.738,0.316,-4.070,-48.429,100.800
0.160,0.000,-0.026,-0.019,0.769,-0.023,0.079,10.738,0.381,-4.070,-48.429,100.800
0.162,0.001,-0.044,-0.019,1.183,-0.005,0.079,6.091,0.404,-4.069,-22.403,100.800
0.164,0.001,-0.047,-0.019,1.183,0.013,0.079,6.091,0.380,-4.068,-22.403,100.800
0.175,0.000,-0.035,-0.020,-0.213,-0.019,0.080,-2.238,0.216,-4.066,47.173,100.800
0.177,0.000,-0.020,-0.021,-0.213,-0.044,0.080,-2.238,0.071,-4.066,47.173,100.800
0.179,0.000,0.000,-0.021,-0.896,-0.079,0.080,-9.126,-0.057,-4.066,68.849,100.800
0.181,0.000,0.021,-0.021,-0.521,-0.076,0.080,0.338,-0.149,-4.066,23.212,100.800
0.183,0.001,0.040,-0.021,-0.521,-0.085,0.080,0.338,-0.180,-4.066,23.212,100.800
0.185,0.001,0.045,-0.021,-0.616,-0.092,0.080,-2.505,-0.140,-4.067,-2.128,100.800
0.187,0.001,0.032,-0.021,-0.616,-0.101,0.080,-2.505,-0.055,-4.067,-2.128,100.800
0.198,0.000,-0.003,-0.022,1.207,-0.076,0.081,2.290,0.053,-4.066,-48.692,100.800
0.200,0.000,-0.042,-0.022,1.207,-0.055,0.081,2.290,0.123,-4.066,-48.692,100.800
0.202,0.001,-0.071,-0.022,1.720,-0.026,0.081,7.450,0.182,-4.066,-32.762,100.800
0.204,0.001,-0.086,-0.023,1.720,-0.005,0.081,7.450,0.221,-4.065,-32.762,100.800
0.206,0.001,-0.094,-0.023,0.615,0.019,0.081,6.797,0.214,-4.065,-8.128,100.800
0.208,0.001,-0.099,-0.023,0.615,0.026,0.081,6.797,0.151,-4.064,-8.128,100.800
0.218,0.001,-0.076,-0.024,-0.435,-0.016,0.081,-5.269,0.034,-4.064,45.369,100.800
0.220,0.001,-0.037,-0.025,-0.435,-0.038,0.081,-5.269,-0.062,-4.064,45.369,100.800
0.222,0.001,-0.003,-0.025,-1.855,-0.067,0.081,-7.829,-0.140,-4.064,43.818,100.800
0.224,0.001,0.019,-0.025,-1.855,-0.092,0.081,-7.829,-0.199,-4.065,43.818,100.800
0.225,0.000,0.032,-0.024,-0.881,-0.113,0.080,-7.130,-0.212,-4.065,18.414,100.800
0.227,0.000,0.045,-0.025,-0.881,-0.115,0.080,-7.130,-0.177,-4.066,18.414,100.800
0.239,0.001,0.016,-0.025,0.389,-0.080,0.080,4.879,-0.058,-4.066,-38.823,100.800
0.240,0.000,-0.019,-0.025,0.389,-0.059,0.080,4.879,0.045,-4.066,-38.823,100.800
0.242,0.000,-0.046,-0.025,1.584,-0.036,0.080,6.562,0.126,-4.066,-46.458,100.800
0.244,0.000,-0.043,-0.025,1.584,-0.027,0.080,6.562,0.174,-4.066,-46.458,100.800
0.246,0.001,-0.037,-0.025,-0.221,-0.021,0.080,2.366,0.176,-4.065,-12.576,100.800
0.248,0.001,-0.037,-0.025,-0.221,-0.015,0.079,2.366,0.128,-4.065,-12.576,100.800
0.261,0.001,-0.008,-0.026,-0.728,-0.030,0.077,-1.466,0.008,-4.065,42.194,100.800
0.263,0.001,0.018,-0.026,-0.728,-0.060,0.077,-1.466,-0.072,-4.065,42.194,100.800
0.265,0.001,0.030,-0.026,-0.971,-0.089,0.076,-8.980,-0.134,-4.065,35.947,100.800
0.267,0.001,0.031,-0.026,-0.971,-0.085,0.076,-8.980,-0.163,-4.066,35.947,100.800
0.269,0.001,0.037,-0.026,-0.173,-0.088,0.076,-0.096,-0.139,-4.066,1.440,100.800
0.271,0.001,0.029,-0.026,-0.173,-0.082,0.076,-0.096,-0.065,-4.066,1.440,100.800
0.272,0.000,0.013,-0.026,0.595,-0.064,0.076,3.529,0.047,-4.066,-47.065,100.800
0.287,0.000,0.000,-0.027,0.316,-0.056,0.076,1.154,0.018,-4.066,7.474,100.800
0.289,0.000,-0.007,-0.027,0.316,-0.057,0.076,1.154,-0.039,-4.066,7.474,100.800
0.291,0.001,-0.008,-0.028,0.216,-0.065,0.075,-1.385,-0.134,-4.066,38.407,100.800
0.293,0.001,-0.004,-0.028,0.216,-0.084,0.075,-1.385,-0.247,-4.066,38.407,100.800
0.295,0.001,0.013,-0.027,-0.526,-0.123,0.074,-9.014,-0.356,-4.067,56.325,100.800
0.297,0.001,0.030,-0.027,-0.526,-0.136,0.074,-9.014,-0.451,-4.068,56.325,100.800
0.308,0.001,0.027,-0.026,-0.358,-0.137,0.071,-2.290,-0.334,-4.072,-5.292,100.800
0.310,0.001,0.033,-0.026,-0.358,-0.128,0.071,-2.290,-0.203,-4.072,-5.292,100.800
0.312,0.001,0.046,-0.026,-0.497,-0.099,0.070,5.546,-0.057,-4.072,-69.651,100.800
0.314,0.001,0.053,-0.026,-0.497,-0.053,0.071,5.546,0.091,-4.072,-69.651,100.800
0.315,0.000,0.045,-0.026,0.025,-0.003,0.071,14.504,0.228,-4.072,-72.120,100.800
0.317,0.000,0.023,-0.026,0.025,0.026,0.071,14.504,0.314,-4.071,-72.120,100.800
0.329,0.001,0.006,-0.026,0.958,-0.010,0.072,-0.975,0.117,-4.070,27.849,100.800
0.330,0.000,0.003,-0.026,0.958,-0.037,0.072,-0.975,-0.094,-4.070,27.849,100.800
0.332,0.000,0.012,-0.026,-0.144,-0.060,0.072,-7.772,-0.308,-4.070,100.800,100.800
0.334,0.000,0.027,-0.026,-0.144,-0.064,0.072,-7.772,-0.516,-4.071,100.800,100.800
0.336,0.001,0.051,-0.026,-0.985,-0.117,0.072,-8.662,-0.669,-4.073,91.573,100.800
0.338,0.001,0.060,-0.026,-0.985,-0.133,0.071,-8.662,-0.747,-4.074,91.573,100.800
0.340,0.001,0.064,-0.026,-0.359,-0.152,0.071,-5.569,-0.731,-4.075,16.370,100.800
0.351,0.001,0.092,-0.026,-0.717,-0.131,0.069,2.976,-0.439,-4.080,-73.298,100.800
0.353,0.001,0.102,-0.026,-0.717,-0.105,0.069,2.976,-0.183,-4.081,-73.298,100.800
0.355,0.001,0.097,-0.026,-0.161,-0.068,0.069,9.433,0.066,-4.081,-100.800,100.800
0.357,0.001,0.082,-0.026,-0.161,-0.078,0.069,9.433,0.251,-4.080,-100.800,100.800
0.359,0.001,0.052,-0.026,1.136,-0.045,0.069,3.324,0.356,-4.079,-73.375,100.800
0.360,0.000,0.030,-0.026,1.136,-0.020,0.069,3.324,0.361,-4.079,-73.375,100.800
0.372,0.001,0.045,-0.027,0.173,-0.026,0.069,2.965,0.049,-4.078,77.309,100.800
0.373,0.000,0.062,-0.028,0.173,-0.019,0.068,2.965,-0.243,-4.079,77.309,100.800
0.375,0.000,0.084,-0.028,-1.008,-0.061,0.068,-5.419,-0.548,-4.080,100.800,100.800
0.377,0.000,0.092,-0.028,-1.008,-0.061,0.068,-5.419,-0.799,-4.081,100.800,100.800
0.379,0.001,0.079,-0.028,0.107,-0.096,0.067,-5.392,-0.957,-4.083,100.800,100.800
0.381,0.001,0.053,-0.028,0.107,-0.064,0.067,-5.392,-0.978,-4.085,100.800,100.800
0.392,0.000,0.057,-0.029,0.530,-0.048,0.066,7.118,-0.573,-4.091,-96.057,100.800
0.394,0.001,0.032,-0.029,0.530,-0.081,0.066,7.118,-0.175,-4.092,-96.057,100.800
0.396,0.001,-0.011,-0.030,1.730,-0.086,0.066,-5.807,0.250,-4.091,-100.800,100.800
0.398,0.001,-0.048,-0.030,1.730,-0.111,0.066,-5.807,0.643,-4.090,-100.800,100.800
0.400,0.001,-0.092,-0.031,2.046,-0.071,0.066,2.123,0.929,-4.088,-100.800,100.800
0.402,0.001,-0.109,-0.031,2.046,-0.045,0.066,2.123,1.082,-4.086,-100.800,100.800
0.413,0.001,-0.122,-0.035,0.798,-0.049,0.066,3.250,0.708,-4.078,54.849,100.800
0.415,0.001,-0.112,-0.036,0.798,-0.022,0.066,3.250,0.322,-4.077,54.849,100.800
0.417,0.001,-0.100,-0.037,-0.526,-0.018,0.066,4.576,-0.067,-4.078,100.800,100.800
0.418,0.000,-0.083,-0.037,-0.526,-0.033,0.065,4.576,-0.438,-4.078,100.800,100.800
0.420,0.000,-0.071,-0.037,-0.730,-0.096,0.065,-11.835,-0.740,-4.080,100.800,100.800
0.422,0.000,-0.074,-0.038,-0.730,-0.104,0.064,-11.835,-0.874,-4.082,100.800,100.800
0.424,0.001,-0.049,-0.038,-0.529,-0.109,0.064,-2.152,-0.900,-4.083,41.069,100.800
